0,1,2,Name,NA_Sales,JP_Sales,EU_Sales,Other_Sales,Global_Sales,Rating,Developer,Publisher,Genre
135.25443005842675,-48.37595435256453,3.8294875175576903,Gran Turismo 4,3010000.0,1100000.0,10000.0,7530000.0,11660000.0,E,Polyphony Digital,Sony Computer Entertainment,Racing
2009.8086872741096,-7.439537089854792,1.4279870077286854,Super Mario Galaxy,6060000.0,1200000.0,3350000.0,740000.0,11350000.0,E,Nintendo,Nintendo,Platform
-138.27675290042475,20.22197226763028,12.739492306349243,Super Mario Land 2: 6 Golden Coins,6160000.0,2690000.0,2040000.0,290000.0,11180000.0,E,Nintendo,Nintendo,Adventure
7946.950378688729,2.487372680286699,6.933782541806681,Grand Theft Auto IV,11530000.0,580000.0000000001,7550000.0,2710000.0,22390000.0,M,Rockstar North,Take-Two Interactive,Action
0.03954234050570229,6.974548725467056,8.49379652243324,Gran Turismo,4020000.0,2540000.0,3870000.0,520000.0,10950000.0,E,Polyphony Digital,Sony Computer Entertainment,Racing
784.2851884342608,-42.78083654084904,-2.6335150898201216,Super Mario 3D Land,4890000.0,2140000.0,3000000.0,780000.0,10810000.0,E,Nintendo,Nintendo,Platform
975.2401771368383,-38.65311751963995,-1.6162081883323773,Gran Turismo 5,2960000.0,810000.0,4820000.0,2110000.0,10700000.0,E,Polyphony Digital,Sony Computer Entertainment,Racing
-138.27557264229637,20.18190376983446,11.741082860276846,Super Mario All-Stars,5990000.0,2120000.0,2150000.0,290000.0,10550000.0,E,Nintendo,Nintendo,Platform
-138.26258980288418,19.7411502940804,0.7585789534804817,Pokemon FireRed/Pokemon LeafGreen,4340000.0,3150000.0,2650000.0,350000.0,10490000.0,E,Nintendo,Nintendo,Role-Playing
5546.604544324854,39.957141567300596,-2.538793478572637,Call of Duty: Ghosts,14940000.0,480000.0,8889999.999999998,3079999.9999999995,27400000.0,M,Infinity Ward,Activision,Shooter
-97.11158675495916,-33.62045026728302,-4.112229961994605,Just Dance 3,7750000.0,0.0,3700000.0,1310000.0,12759999.999999998,E10+,Ubisoft,Ubisoft,Misc
