Critic_Count,Critic_Score,Developer,EU_Sales,Genre,Global_Sales,JP_Sales,NA_Sales,Name,Other_Sales,Platform,Publisher,Rating,User_Count,User_Score,Year_of_Release
30.0,7.2,Tecmo,0.0,Platform,0.06,0.0,0.06,Tokobot,0.0,PSP,Take-Two Interactive,E,8.0,7.3,2005.0
0.0,0.0,10TACLE Studios,0.0,Strategy,0.06,0.0,0.06,Panzer Tactics,0.0,DS,10TACLE Studios,RP,0.0,0.0,2007.0
0.0,0.0,Sega,0.0,Shooter,0.06,0.06,0.0,Robotica,0.0,SAT,Sega,T,0.0,0.0,1994.0
0.0,0.0,Ubisoft,0.01,Sports,0.06,0.0,0.05,Deathrow: Underground Team Combat,0.0,XB,Ubisoft,E10+,0.0,0.0,2002.0
0.0,0.0,THQ,0.0,Simulation,0.06,0.0,0.06,Paws & Claws: Marine Rescue,0.0,DS,THQ,T,0.0,0.0,2011.0
9.0,3.2,Brainbox Games,0.01,Shooter,0.06,0.0,0.05,Land of the Dead: Road to Fiddler's Green,0.0,XB,Groove Games,M,10.0,5.8,2005.0
0.0,0.0,Virgin Interactive,0.02,Shooter,0.06,0.0,0.04,R-Types,0.0,PS,Virgin Interactive,RP,0.0,0.0,1998.0
0.0,0.0,Telstar,0.02,Shooter,0.06,0.0,0.04,Star Fighter,0.0,PS,Telstar,RP,0.0,0.0,1995.0
0.0,0.0,Namco Bandai Games,0.0,Action,0.06,0.06,0.0,Game Center CX: 3-Choume no Arino,0.0,3DS,Namco Bandai Games,E,0.0,0.0,2014.0
44.0,6.8,Kunos Simulazioni,0.060000000000000005,Racing,0.08,0.0,0.0,Assetto Corsa,0.01,PS4,505 Games,E,97.0,6.45,2016.0
0.0,0.0,Benesse,0.0,Misc,0.06,0.06,0.0,Kuukan * Zukei: Hirameki Training - KuuTore,0.0,DS,Benesse,RP,0.0,0.0,2008.0
0.0,0.0,Nintendo,0.0,Misc,0.06,0.06,0.0,Osu! Tatakae! Ouendan,0.0,DS,Nintendo,E,0.0,0.0,2005.0
0.0,0.0,Square Enix,0.0,Fighting,0.06,0.06,0.0,Dissidia: Final Fantasy Universal Tuning,0.0,PSP,Square Enix,T,0.0,0.0,2009.0
0.0,0.0,"505 Games, Sarbakan Inc.",0.0,Platform,0.06,0.0,0.06,Johnny Test,0.0,DS,505 Games,E,7.0,0.9,2011.0
0.0,0.0,Namco Bandai Games,0.0,Adventure,0.06,0.06,0.0,Meitantei Conan: Aoki Houseki no Rinbukyoku,0.0,DS,Namco Bandai Games,E,0.0,0.0,2011.0
0.0,0.0,Falcom Corporation,0.0,Role-Playing,0.08,0.08,0.0,The Legend of Heroes: Trails in the Sky Second Chapter,0.0,PSP,Falcom Corporation,RP,0.0,0.0,2007.0
5.0,6.5,Konami,0.02,Simulation,0.06,0.0,0.04,Jurassic Park III: Park Builder,0.0,GBA,Konami Digital Entertainment,E,5.0,8.0,2001.0
16.0,6.3,FuRyu,0.0,Role-Playing,0.1,0.1,0.0,Unchained Blades ,0.0,PSP,FuRyu,T,31.0,7.65,2011.0
0.0,0.0,Electronic Arts,0.0,Action,0.1,0.0,0.09,NHL Legacy,0.02,X360,Electronic Arts,E,0.0,0.0,2015.0
0.0,0.0,Namco Bandai Games,0.0,Fighting,0.06,0.06,0.0,Rurouni Kenshin: Meiji Kenkaku Romantan Saisen,0.0,PSP,Namco Bandai Games,E,0.0,0.0,2011.0
0.0,0.0,Crave Entertainment,0.0,Puzzle,0.06,0.0,0.06,Santa Claus Is Comin' to Town!,0.0,DS,Crave Entertainment,RP,0.0,0.0,2011.0
0.0,0.0,Namco Bandai Games,0.0,Action,0.06,0.06,0.0,Godzilla (2014),0.0,PS3,Namco Bandai Games,E,0.0,0.0,2014.0
7.0,3.5,Nikitova Games,0.0,Fighting,0.06,0.0,0.06,Showtime Championship Boxing,0.0,Wii,Zoo Digital Publishing,E10+,10.0,4.7,2007.0
0.0,0.0,Namco Bandai Games,0.0,Action,0.06,0.06,0.0,Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,0.0,3DS,Namco Bandai Games,E,0.0,0.0,2016.0
0.0,0.0,JVC,0.02,Action,0.06,0.0,0.03,Power Shovel,0.0,PS,JVC,RP,0.0,0.0,2000.0
0.0,0.0,Pack-In-Video,0.0,Simulation,0.06,0.06,0.0,A llI S.V.: A Ressha de Gyoukou 3 Super Version,0.0,SNES,Pack-In-Video,RP,0.0,0.0,1995.0
0.0,0.0,Virtuos,0.01,Action,0.06,0.0,0.05,Generator Rex: Agent of Providence,0.0,X360,Activision,E10+,6.0,4.0,2011.0
0.0,0.0,Crimson Cow,0.05,Action,0.06,0.0,0.0,The Book of Unwritten Tales: The Critter Chronicles,0.01,PC,Crimson Cow,RP,0.0,0.0,2011.0
40.0,6.7,Gust,0.02,Action,0.06,0.0,0.03,Nights of Azure,0.01,PS4,Tecmo Koei,T,71.0,7.6,2015.0
44.0,7.0,Gas Powered Games,0.04,Strategy,0.06,0.0,0.01,Age of Empires Online,0.01,PC,Microsoft Game Studios,E10+,186.0,5.6,2011.0
36.0,6.8,Sandlot,0.0,Action,0.06,0.06,0.0,Earth Defense Force 2017 Portable,0.0,PSV,D3Publisher,T,31.0,7.9,2012.0
34.0,6.8,Gust,0.02,Role-Playing,0.06,0.0,0.03,Atelier Iris 2: The Azoth Of Destiny,0.01,PS2,Tecmo Koei,E10+,14.0,7.8,2005.0
0.0,0.0,Infogrames,0.02,Simulation,0.06,0.0,0.03,There,0.0,PS,Infogrames,E,0.0,0.0,2002.0
0.0,0.0,Konami Digital Entertainment,0.0,Misc,0.06,0.06,0.0,Tokimeki no Houkago,0.0,PS,Konami Digital Entertainment,RP,0.0,0.0,1998.0
0.0,0.0,Cave,0.0,Shooter,0.06,0.01,0.04,Akai Katana Shin,0.0,X360,Cave,E,0.0,0.0,2011.0
0.0,0.0,Sega,0.02,Misc,0.06,0.0,0.04,2 Games in 1: Sonic Pinball Party & Columns Crown,0.0,GBA,Sega,T,0.0,0.0,2005.0
0.0,0.0,Eidos Interactive,0.02,Misc,0.06,0.0,0.03,Mad Maestro!,0.01,PS2,Eidos Interactive,T,0.0,0.0,2001.0
0.0,0.0,Taito,0.0,Simulation,0.06,0.06,0.0,Densha De Go! 3 Tsuukinhen,0.0,PS2,Taito,RP,0.0,0.0,2001.0
9.0,5.9,Sonic Powered,0.0,Role-Playing,0.06,0.0,0.06,From The Abyss,0.0,DS,Nobilis,E,5.0,8.0,2008.0
0.0,0.0,Daito,0.0,Misc,0.06,0.06,0.0,Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou Portable,0.0,PSP,Daito,RP,0.0,0.0,2006.0
47.0,7.233333333333333,WayForward,0.04,Action,0.16999999999999998,0.0,0.09999999999999999,DuckTales: Remastered,0.02,WiiU,Capcom,E,387.0,7.633333333333333,2013.0
15.0,7.9,Digital Mayhem,0.02,Shooter,0.06,0.0,0.03,Giants: Citizen Kabuto,0.01,PS2,Interplay,T,8.0,6.9,2001.0
0.0,0.0,Namco Bandai Games,0.0,Adventure,0.06,0.06,0.0,Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,0.0,3DS,Namco Bandai Games,E,0.0,0.0,2014.0
14.0,5.3,Nordic Games Publishing,0.03,Racing,0.09,0.0,0.05,MX vs. ATV Supercross,0.01,X360,Nordic Games,E,18.0,4.15,2014.0
11.0,6.1,Mass Media,0.02,Misc,0.08,0.0,0.05,Muppets Party Cruise,0.01,PS2,TDK Mediactive,E,11.0,8.0,2003.0
0.0,0.0,Alchemist,0.0,Adventure,0.06,0.06,0.0,Higurashi Daybreak Portable,0.0,PSP,Alchemist,RP,0.0,0.0,2008.0
0.0,0.0,Acclaim Entertainment,0.02,Sports,0.06,0.0,0.03,Blast Lacrosse,0.0,PS,Acclaim Entertainment,RP,0.0,0.0,2001.0
